                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3882,                0.83873,                0.93337,                0.86259,                0.89929,                0.92437,                0.53445,                 1.1606,                0.70663,                0.80329,             0.00066606,             0.00066606,             0.00066606
                      2,                 1.3858,                0.88565,                0.94227,                0.83765,                0.90642,                0.92262,                 0.5359,                 1.1402,                0.79492,                0.79618,              0.0010688,              0.0010688,              0.0010688
                      3,                  1.402,                0.87454,                0.94238,                  0.861,                0.91093,                0.93615,                0.53643,                 1.1907,                0.74176,                0.81682,              0.0012076,              0.0012076,              0.0012076
                      4,                 1.3922,                0.88137,                0.93094,                 0.8628,                0.90285,                0.93689,                0.55598,                 1.1343,                0.70366,                0.79344,               0.000812,               0.000812,               0.000812
                      5,                 1.3655,                0.84008,                0.94039,                0.87083,                0.91334,                0.94354,                0.57255,                 1.1245,                0.62825,                0.78549,               0.000416,               0.000416,               0.000416
                      1,                 1.3882,                0.85214,                0.93379,                0.85921,                0.90285,                0.92494,                0.54326,                 1.1585,                0.70679,                0.80785,             0.00066606,             0.00066606,             0.00066606
                      2,                 1.3792,                0.87839,                  0.942,                0.84849,                0.89929,                0.91959,                0.52375,                 1.1649,                0.78864,                0.80429,              0.0010688,              0.0010688,              0.0010688
                      3,                 1.4205,                0.86453,                0.94856,                0.85972,                0.88859,                0.92005,                0.51962,                 1.1756,                0.80848,                0.81473,              0.0012076,              0.0012076,              0.0012076
                      4,                 1.3962,                0.89344,                0.93363,                0.86301,                  0.904,                0.93669,                0.56145,                 1.1287,                 0.6516,                0.79464,               0.000812,               0.000812,               0.000812
                      5,                 1.3683,                0.84983,                0.94063,                0.85707,                0.91925,                0.93889,                0.56262,                 1.1223,                0.62919,                0.79123,               0.000416,               0.000416,               0.000416
