                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.712,                 2.1006,                 1.0143,                 0.7705,                0.81818,                0.85558,                0.43561,                  1.275,                 2.1115,                 0.8412,             0.00066606,             0.00066606,             0.00066606
                      2,                 1.6147,                 1.6061,                  1.005,                0.83066,                 0.8574,                0.90834,                0.50118,                 1.1894,                 1.2647,                0.82766,              0.0010688,              0.0010688,              0.0010688
                      3,                 1.5794,                 1.3022,                  1.001,                0.83871,                0.87433,                0.90642,                0.47647,                 1.2146,                 1.1589,                0.83802,              0.0012076,              0.0012076,              0.0012076
                      4,                 1.5185,                 1.2504,                 0.9718,                0.86101,                0.83779,                0.91167,                0.52198,                 1.1652,                   1.01,                0.80903,               0.000812,               0.000812,               0.000812
                      5,                 1.4439,                 1.0718,                0.96238,                 0.8618,                0.88414,                0.92898,                0.53714,                 1.1668,                0.72075,                0.80655,               0.000416,               0.000416,               0.000416
                      1,                 1.6986,                 2.1197,                 1.0172,                0.80186,                0.82598,                0.86596,                0.44204,                 1.2546,                 2.0373,                0.84735,             0.00066606,             0.00066606,             0.00066606
                      2,                 1.6132,                 1.5897,                  1.007,                 0.8116,                0.86988,                0.89891,                0.45039,                 1.2829,                  1.229,                0.85349,              0.0010688,              0.0010688,              0.0010688
                      3,                 1.5767,                 1.2884,                0.99977,                0.81023,                0.87077,                0.88676,                0.46662,                 1.1908,                 1.3159,                 0.8276,              0.0012076,              0.0012076,              0.0012076
                      4,                 1.5102,                 1.2454,                 0.9674,                0.85313,                0.85294,                0.90925,                0.52199,                 1.1678,                 1.0318,                0.81229,               0.000812,               0.000812,               0.000812
                      5,                 1.4408,                 1.0682,                0.96312,                0.85384,                0.90018,                0.93644,                 0.5481,                 1.1537,                0.71243,                0.80398,               0.000416,               0.000416,               0.000416
